"","Symbol","Company.Name","Sector","Industry"
"1","ED","Consolidated Edison, Inc.","Utilities","Electric Utilities"
"2","DD","E. I. du Pont de Nemours and Company","Basic Materials","Agricultural Chemicals"
"3","CVX","Chevron Corporation","Basic Materials","Major Integrated Oil & Gas"
"4","FL","Foot Locker, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories"
"5","CAT","Caterpillar Inc.","Industrial Goods","Farm & Construction Machinery"
"6","IP","International Paper Company","Consumer Goods","Packaging & Containers"
"7","SJW","SJW Group","Utilities","Water Utilities"
"8","F","Ford Motor Company","Consumer Goods","Auto Manufacturers - Major"
"9","LLY","Eli Lilly and Company","Healthcare","Drug Manufacturers - Major"
"10","AVP","Avon Products, Inc.","Consumer Goods","Personal Products"
"11","NFG","National Fuel Gas Company","Basic Materials","Independent Oil & Gas"
"12","BF.A",NA,NA,NA
"13","MATX","Matson, Inc.","Services","Shipping"
"14","BK","The Bank of New York Mellon Corporation","Financial","Asset Management"
"15","SNE","Sony Corporation","Consumer Goods","Electronic Equipment"
"16","KR","The Kroger Co.","Services","Grocery Stores"
"17","BP","BP p.l.c.","Basic Materials","Major Integrated Oil & Gas"
"18","C","Citigroup Inc.","Financial","Money Center Banks"
"19","CL","Colgate-Palmolive Company","Consumer Goods","Personal Products"
"20","APA","Apache Corporation","Basic Materials","Independent Oil & Gas"
"21","DDS","Dillard's, Inc.","Services","Department Stores"
"22","TSN","Tyson Foods, Inc.","Consumer Goods","Meat Products"
"23","OII","Oceaneering International, Inc.","Basic Materials","Oil & Gas Equipment & Services"
"24","BIF",NA,NA,NA
"25","LAWS","Lawson Products, Inc.","Services","Industrial Equipment Wholesale"
"26","GWW","W.W. Grainger, Inc.","Services","Industrial Equipment Wholesale"
"27","JCP","J. C. Penney Company, Inc.","Services","Department Stores"
"28","VNO","Vornado Realty Trust","Financial","REIT - Diversified"
"29","LPX","Louisiana-Pacific Corporation","Services","Building Materials Wholesale"
"30","WABC","Westamerica Bancorporation","Financial","Regional - Pacific Banks"
"31","NWLI","National Western Life Group, Inc.","Financial","Life Insurance"
"32","GLT","P. H. Glatfelter Company","Consumer Goods","Paper & Paper Products"
"33","LUB","Luby's, Inc.","Services","Restaurants"
"34","NL","NL Industries, Inc.","Services","Industrial Equipment Wholesale"
"35","PGR","The Progressive Corporation","Financial","Property & Casualty Insurance"
"36","BF.B",NA,NA,NA
"37","ADI","Analog Devices, Inc.","Technology","Semiconductor - Integrated Circuits"
"38","GHC","Graham Holdings Company","Services","Education & Training Services"
"39","GFI","Gold Fields Limited","Basic Materials","Gold"
"40","SJI","South Jersey Industries, Inc.","Utilities","Gas Utilities"
"41","SHLM","A. Schulman, Inc.","Basic Materials","Chemicals - Major Diversified"
"42","BAC","Bank of America Corporation","Financial","Money Center Banks"
"43","CTS","CTS Corporation","Technology","Diversified Electronics"
"44","MAT","Mattel, Inc.","Consumer Goods","Toys & Games"
"45","AP","Ampco-Pittsburgh Corporation","Industrial Goods","Diversified Machinery"
"46","WGO","Winnebago Industries, Inc.","Consumer Goods","Recreational Vehicles"
"47","MYL","Mylan N.V.","Healthcare","Drugs - Generic"
"48","TRC","Tejon Ranch Co.","Financial","Property Management"
"49","GIS","General Mills, Inc.","Consumer Goods","Processed & Packaged Goods"
"50","TMO","Thermo Fisher Scientific Inc.","Healthcare","Medical Laboratories & Research"
"51","VLGEA","Village Super Market, Inc.","Services","Grocery Stores"
"52","DUK","Duke Energy Corporation","Utilities","Electric Utilities"
"53","JPM","JPMorgan Chase & Co.","Financial","Money Center Banks"
"54","AGYS","Agilysys, Inc.","Technology","Application Software"
"55","L","Loews Corporation","Financial","Property & Casualty Insurance"
"56","BDX","Becton, Dickinson and Company","Healthcare","Medical Instruments & Supplies"
"57","D","Dominion Energy, Inc.","Utilities","Electric Utilities"
"58","TGNA","TEGNA Inc.","Services","Broadcasting - TV"
"59","IR","Ingersoll-Rand Plc","Industrial Goods","Diversified Machinery"
"60","CAL","Caleres, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories"
"61","MSEX","Middlesex Water Company","Utilities","Water Utilities"
"62","NJR","New Jersey Resources Corporation","Utilities","Gas Utilities"
"63","ANAT","American National Insurance Company","Financial","Property & Casualty Insurance"
"64","KMT","Kennametal Inc.","Industrial Goods","Machine Tools & Accessories"
"65","SENEB","Seneca Foods Corporation","Consumer Goods","Processed & Packaged Goods"
"66","WMK","Weis Markets, Inc.","Services","Grocery Stores"
"67","AEM","Agnico Eagle Mines Limited","Basic Materials","Gold"
"68","KMB","Kimberly-Clark Corporation","Consumer Goods","Personal Products"
"69","CHD","Church & Dwight Co., Inc.","Consumer Goods","Cleaning Products"
"70","DHR","Danaher Corporation","Industrial Goods","Diversified Machinery"
"71","AVA","Avista Corporation","Utilities","Diversified Utilities"
"72","FUL","H.B. Fuller Company","Basic Materials","Specialty Chemicals"
"73","BBT","BB&T Corporation","Financial","Regional - Southeast Banks"
"74","FHN","First Horizon National Corporation","Financial","Regional - Southeast Banks"
"75","INTC","Intel Corporation","Technology","Semiconductor - Broad Line"
"76","KSU","Kansas City Southern","Services","Railroads"
"77","CTG","Computer Task Group, Incorporated","Technology","Information Technology Services"
"78","KYO","Kyocera Corporation","Technology","Diversified Electronics"
"79","MUX","McEwen Mining Inc.","Basic Materials","Industrial Metals & Minerals"
"80","MOG.A",NA,NA,NA
"81","CSX","CSX Corporation","Services","Railroads"
"82","CECE","CECO Environmental Corp.","Industrial Goods","Pollution & Treatment Controls"
"83","SEIC","SEI Investments Co.","Financial","Asset Management"
"84","PHIIK","PHI, Inc.",NA,NA
"85","NVO","Novo Nordisk A/S","Healthcare","Drug Manufacturers - Other"
"86","COP","ConocoPhillips","Basic Materials","Independent Oil & Gas"
"87","IFF","International Flavors & Fragrances Inc.","Basic Materials","Specialty Chemicals"
"88","SLB","Schlumberger Limited","Basic Materials","Oil & Gas Equipment & Services"
"89","HUM","Humana Inc.","Healthcare","Health Care Plans"
"90","OXY","Occidental Petroleum Corporation","Basic Materials","Independent Oil & Gas"
"91","VLO","Valero Energy Corporation","Basic Materials","Oil & Gas Refining & Marketing"
"92","HRS","Harris Corporation","Technology","Communication Equipment"
"93","SO","The Southern Company","Utilities","Electric Utilities"
"94","THC","Tenet Healthcare Corp.","Healthcare","Hospitals"
"95","IHC","Independence Holding Company","Financial","Life Insurance"
"96","VBF","Invesco Bond Fund",NA,NA
"97","CVBF","CVB Financial Corp.","Financial","Regional - Pacific Banks"
"98","RDC","Rowan Companies plc","Basic Materials","Oil & Gas Drilling & Exploration"
"99","FMBI","First Midwest Bancorp, Inc.","Financial","Regional - Midwest Banks"
"100","TRST","TrustCo Bank Corp NY","Financial","Regional - Northeast Banks"
"101","ASNA","Ascena Retail Group, Inc.","Services","Apparel Stores"
"102","LM","Legg Mason, Inc.","Financial","Asset Management"
"103","PAYX","Paychex, Inc.","Services","Staffing & Outsourcing Services"
"104","SLM","SLM Corporation","Financial","Credit Services"
"105","AXE","Anixter International Inc.","Services","Industrial Equipment Wholesale"
"106","SGMS","Scientific Games Corporation","Services","Gaming Activities"
"107","CB","Chubb Limited","Financial","Property & Casualty Insurance"
"108","JCI","Johnson Controls International plc","Consumer Goods","Auto Parts"
"109","SWK","Stanley Black & Decker, Inc.","Industrial Goods","Machine Tools & Accessories"
